date      , recurring_inflow, recurring_outflow, one_time_inflow, one_time_outflow, total_inflow, total_outflow, net   , balance, recurring_details                                                                                                   , one_time_details
2026-04-01,             0.00,             39.43,            0.00,             0.00,         0.00,         39.43, -39.43, 1460.57, Rent: -39.43                                                                                                        , 
2026-04-02,             0.00,             39.43,            0.00,             0.00,         0.00,         39.43, -39.43, 1421.15, Rent: -39.43                                                                                                        , 
2026-04-03,           128.57,             39.43,            0.00,             0.00,       128.57,         39.43, 89.15 , 1510.29, Main Job Paycheck: 128.57; Rent: -39.43                                                                             , 
2026-04-04,           128.57,             39.43,            0.00,             0.00,       128.57,         39.43, 89.15 , 1599.44, Main Job Paycheck: 128.57; Rent: -39.43                                                                             , 
2026-04-05,           128.57,             62.28,            0.00,             0.00,       128.57,         62.28, 66.29 , 1665.73, Main Job Paycheck: 128.57; Rent: -39.43; Groceries: -22.86                                                          , 
2026-04-06,           128.57,             62.28,            0.00,             0.00,       128.57,         62.28, 66.29 , 1732.02, Main Job Paycheck: 128.57; Rent: -39.43; Groceries: -22.86                                                          , 
2026-04-07,           128.57,             62.28,            0.00,             0.00,       128.57,         62.28, 66.29 , 1798.30, Main Job Paycheck: 128.57; Rent: -39.43; Groceries: -22.86                                                          , 
2026-04-08,           128.57,             64.75,            0.00,             0.00,       128.57,         64.75, 63.82 , 1862.13, Main Job Paycheck: 128.57; Rent: -39.43; Internet: -2.46; Groceries: -22.86                                         , 
2026-04-09,           128.57,             64.75,            0.00,             0.00,       128.57,         64.75, 63.82 , 1925.95, Main Job Paycheck: 128.57; Rent: -39.43; Internet: -2.46; Groceries: -22.86                                         , 
2026-04-10,           128.57,             64.75,            0.00,             0.00,       128.57,         64.75, 63.82 , 1989.78, Main Job Paycheck: 128.57; Rent: -39.43; Internet: -2.46; Groceries: -22.86                                         , 
2026-04-11,           128.57,             64.75,            0.00,             0.00,       128.57,         64.75, 63.82 , 2053.60, Main Job Paycheck: 128.57; Rent: -39.43; Internet: -2.46; Groceries: -22.86                                         , 
2026-04-12,           128.57,             68.36,            0.00,             0.00,       128.57,         68.36, 60.21 , 2113.81, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Groceries: -22.86                   , 
2026-04-13,           128.57,             68.36,            0.00,             0.00,       128.57,         68.36, 60.21 , 2174.02, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Groceries: -22.86                   , 
2026-04-14,           128.57,             68.36,            0.00,             0.00,       128.57,         68.36, 60.21 , 2234.23, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Groceries: -22.86                   , 
2026-04-15,           128.57,             68.36,            0.00,             0.00,       128.57,         68.36, 60.21 , 2294.44, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Groceries: -22.86                   , 
2026-04-16,           128.57,             68.36,            0.00,             0.00,       128.57,         68.36, 60.21 , 2354.65, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Groceries: -22.86                   , 
2026-04-17,           128.57,             68.36,            0.00,             0.00,       128.57,         68.36, 60.21 , 2414.86, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Groceries: -22.86                   , 
2026-04-18,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 2473.10, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-19,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 2531.34, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-20,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 2589.58, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-21,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 2647.82, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-22,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 2706.06, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-23,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 2764.30, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-24,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 2822.54, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-25,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 2880.78, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-26,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 2939.01, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-27,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 2997.25, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-28,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 3055.49, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-29,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 3113.73, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
2026-04-30,           128.57,             70.33,            0.00,             0.00,       128.57,         70.33, 58.24 , 3171.97, Main Job Paycheck: 128.57; Rent: -39.43; Electric Bill: -3.61; Internet: -2.46; Phone Bill: -1.97; Groceries: -22.86, 
